Неизвестный тип класса - 0 : в строке номер 3
Неккоректный ввод параметров класса : в строке номер 4
Неккоректный ввод параметров класса : в строке номер 7
Неккоректный ввод параметров класса : в строке номер 8
_________________________________
Это дерево, Количество согласных =2 ; ему 12 лет, Его название: Дуб ; Растёт в тундре
Это дерево, Количество согласных =2 ; ему 12 лет, Его название: Дуб ; Растёт в тундре
Это кустарник, Количество согласных =3 ; месяц цветения - февраль, Его название: Малина ; Растёт в пустыни
Это кустарник, Количество согласных =3 ; месяц цветения - февраль, Его название: Малина ; Растёт в пустыни
Это дерево, Количество согласных =3 ; ему 2 лет, Его название: Берёза ; Растёт в степи
Это дерево, Количество согласных =3 ; ему 2 лет, Его название: Берёза ; Растёт в степи
Это кустарник, Количество согласных =5 ; месяц цветения - март, Его название: Брусника ; Растёт в арктике
Это кустарник, Количество согласных =5 ; месяц цветения - март, Его название: Брусника ; Растёт в арктике
Это кустарник, Количество согласных =0 ; месяц цветения - март, Его название: ОООО ; Растёт в пустыни
Это кустарник, Количество согласных =0 ; месяц цветения - март, Его название: ОООО ; Растёт в пустыни
Это кустарник, Количество согласных =3 ; месяц цветения - апрель, Его название: Малины ; Растёт в тундре
Это кустарник, Количество согласных =3 ; месяц цветения - апрель, Его название: Малины ; Растёт в тундре
Это дерево, Количество согласных =3 ; ему 20 лет, Его название: Пальма ; Растёт в тундре
Это дерево, Количество согласных =3 ; ему 20 лет, Его название: Пальма ; Растёт в тундре
Это дерево, Количество согласных =3 ; ему 200 лет, Его название: Сосна ; Растёт в пустыни
Это дерево, Количество согласных =3 ; ему 200 лет, Его название: Сосна ; Растёт в пустыни
Это кустарник, Количество согласных =5 ; месяц цветения - май, Его название: Шиповник ; Растёт в степи
Это кустарник, Количество согласных =5 ; месяц цветения - май, Его название: Шиповник ; Растёт в степи
Это кустарник, Количество согласных =4 ; месяц цветения - апрель, Его название: Берючина ; Растёт в пустыни
Это кустарник, Количество согласных =4 ; месяц цветения - апрель, Его название: Берючина ; Растёт в пустыни
Это цветок, Количество согласных =3 ; тип цветка - домашниетип считался некорректно, Его название: Фиалка ; Растёт в тундре
Это цветок, Количество согласных =3 ; тип цветка - домашниетип считался некорректно, Его название: Фиалка ; Растёт в тундре
Это кустарник, Количество согласных =5 ; месяц цветения - май, Его название: Шиповник ; Растёт в степи
Это кустарник, Количество согласных =5 ; месяц цветения - май, Его название: Шиповник ; Растёт в степи
Это кустарник, Количество согласных =5 ; месяц цветения - март, Его название: Брусника ; Растёт в арктике
Это кустарник, Количество согласных =5 ; месяц цветения - март, Его название: Брусника ; Растёт в арктике
Это кустарник, Количество согласных =4 ; месяц цветения - апрель, Его название: Берючина ; Растёт в пустыни
Это кустарник, Количество согласных =4 ; месяц цветения - апрель, Его название: Берючина ; Растёт в пустыни
Это дерево, Количество согласных =3 ; ему 200 лет, Его название: Сосна ; Растёт в пустыни
Это дерево, Количество согласных =3 ; ему 20 лет, Его название: Пальма ; Растёт в тундре
Это дерево, Количество согласных =3 ; ему 20 лет, Его название: Пальма ; Растёт в тундре
Это цветок, Количество согласных =3 ; тип цветка - домашниетип считался некорректно, Его название: Фиалка ; Растёт в тундре
Это цветок, Количество согласных =3 ; тип цветка - домашниетип считался некорректно, Его название: Фиалка ; Растёт в тундре
Это дерево, Количество согласных =3 ; ему 200 лет, Его название: Сосна ; Растёт в пустыни
Это дерево, Количество согласных =3 ; ему 2 лет, Его название: Берёза ; Растёт в степи
Это дерево, Количество согласных =3 ; ему 2 лет, Его название: Берёза ; Растёт в степи
Это кустарник, Количество согласных =3 ; месяц цветения - февраль, Его название: Малина ; Растёт в пустыни
Это кустарник, Количество согласных =3 ; месяц цветения - февраль, Его название: Малина ; Растёт в пустыни
Это кустарник, Количество согласных =3 ; месяц цветения - апрель, Его название: Малины ; Растёт в тундре
Это кустарник, Количество согласных =3 ; месяц цветения - апрель, Его название: Малины ; Растёт в тундре
Это дерево, Количество согласных =2 ; ему 12 лет, Его название: Дуб ; Растёт в тундре
Это дерево, Количество согласных =2 ; ему 12 лет, Его название: Дуб ; Растёт в тундре
Это кустарник, Количество согласных =0 ; месяц цветения - март, Его название: ОООО ; Растёт в пустыни
Это кустарник, Количество согласных =0 ; месяц цветения - март, Его название: ОООО ; Растёт в пустыни
Это дерево, Количество согласных =3 ; ему 200 лет, Его название: Сосна ; Растёт в пустыни
Это дерево, Количество согласных =3 ; ему 20 лет, Его название: Пальма ; Растёт в тундре
Это дерево, Количество согласных =3 ; ему 20 лет, Его название: Пальма ; Растёт в тундре
Это дерево, Количество согласных =3 ; ему 200 лет, Его название: Сосна ; Растёт в пустыни
Это дерево, Количество согласных =3 ; ему 2 лет, Его название: Берёза ; Растёт в степи
Это дерево, Количество согласных =3 ; ему 2 лет, Его название: Берёза ; Растёт в степи
Это дерево, Количество согласных =2 ; ему 12 лет, Его название: Дуб ; Растёт в тундре
Это дерево, Количество согласных =2 ; ему 12 лет, Его название: Дуб ; Растёт в тундре
